RitualObjectRef,RitualObjectSystemId,RitualObjectID,CaseRef,RitualObject_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"RO/LA/583","LA",583,"C/EGD/316","Meal","LEM","07/18/02 09:33:35","LEM","07/18/02 09:33:36"
"RO/LA/584","LA",584,"C/EGD/316","Straw","LEM","07/18/02 09:33:36","LEM","07/18/02 09:33:41"
"RO/LA/585","LA",585,"C/EGD/316","Horseshoe","LEM","07/18/02 09:33:52","LEM","07/18/02 09:33:54"
"RO/LA/586","LA",586,"C/EGD/316","Hook","LEM","07/18/02 09:33:54","LEM","07/18/02 09:33:55"
"RO/LA/587","LA",587,"C/EGD/316","Flesh","LEM","07/18/02 09:33:56","LEM","07/18/02 09:34:00"
"RO/LA/588","LA",588,"C/EGD/292","Flesh","LEM","07/18/02 11:34:24","LEM","07/18/02 11:34:30"
"RO/LA/589","LA",589,"C/EGD/292","Cloth","LEM","07/18/02 11:34:41","LEM","07/18/02 11:35:01"
"RO/LA/590","LA",590,"C/EGD/791","Thread","LEM","07/19/02 11:12:21","jhm","11/13/02 12:52:52"
"RO/LA/591","LA",591,"C/EGD/791","Cloth","LEM","07/19/02 11:12:23","LEM","07/19/02 11:12:34"
"RO/LA/592","LA",592,"C/EGD/789","Salt","LEM","07/19/02 11:53:45","LEM","07/19/02 11:53:47"
"RO/LA/593","LA",593,"C/EGD/789","Herb","LEM","07/19/02 11:54:38","LEM","07/19/02 11:54:51"
"RO/LA/594","LA",594,"C/LA/3135","Straw","LEM","07/19/02 12:49:08","LEM","07/19/02 12:49:22"
"RO/LA/595","LA",595,"C/EGD/796","Straw","LEM","07/19/02 12:58:55","LEM","07/19/02 12:59:20"
"RO/LA/596","LA",596,"C/EGD/785","Straw","LEM","07/19/02 13:00:22","LEM","07/19/02 13:00:24"
"RO/LA/597","LA",597,"C/EGD/798","Stones","LEM","07/23/02 15:05:10","LEM","07/23/02 15:06:20"
"RO/LA/598","LA",598,"C/EGD/33","Thread","LEM","07/24/02 10:42:03","jhm","11/13/02 12:53:22"
"RO/LA/599","LA",599,"C/EGD/33","Shears","LEM","07/24/02 10:42:05","LEM","07/24/02 10:42:06"
"RO/LA/6","LA",6,"C/EGD/162","Nettle","LEM","05/18/01 13:04:41","LEM","05/18/01 13:04:44"
"RO/LA/600","LA",600,"C/EGD/28","Shirt","LEM","07/24/02 12:21:36","LEM","07/24/02 12:21:38"
"RO/LA/601","LA",601,"C/EGD/28","Herb","LEM","07/24/02 12:33:47","LEM","07/24/02 12:33:48"
"RO/LA/602","LA",602,"C/EGD/28","Water","LEM","07/24/02 12:33:49","LEM","07/24/02 12:33:51"
"RO/LA/603","LA",603,"C/EGD/124","Wax/clay images","LEM","07/24/02 13:20:47","LEM","07/24/02 13:20:55"
"RO/LA/604","LA",604,"C/EGD/124","Flesh","LEM","07/24/02 13:21:36","LEM","07/24/02 13:21:38"
