DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DP/LA/723","LA",723,"C/EGD/830","Anti-baptism",,"LEM","08/14/02 15:02:49","LEM","08/14/02 15:02:50"
"DP/LA/724","LA",724,"C/EGD/830","Paction",,"LEM","08/14/02 15:02:51","LEM","08/14/02 15:02:53"
"DP/LA/725","LA",725,"C/EGD/1474","Head and foot",,"LEM","08/20/02 14:58:33","LEM","08/20/02 14:58:34"
"DP/LA/726","LA",726,"C/EGD/1474","Anti-baptism",,"LEM","08/20/02 14:58:35","LEM","08/20/02 14:58:35"
"DP/LA/727","LA",727,"C/EGD/1474","Devil's Mark",,"LEM","08/20/02 14:58:46","LEM","08/20/02 14:58:48"
"DP/LA/728","LA",728,"C/EGD/1474","New name","Christian","LEM","08/20/02 15:00:14","LEM","08/20/02 15:00:34"
"DP/LA/729","LA",729,"C/EGD/1474","Sex",,"LEM","08/20/02 15:00:35","LEM","08/20/02 15:00:37"
"DP/LA/73","LA",73,"C/EGD/380","Servant",,"LEM","06/29/01 11:05:21","LEM","06/29/01 11:05:21"
"DP/LA/730","LA",730,"C/EGD/1558","Anti-baptism",,"LEM","08/22/02 10:39:37","LEM","08/22/02 10:39:38"
"DP/LA/731","LA",731,"C/EGD/1558","Head and foot",,"LEM","08/22/02 10:39:39","LEM","08/22/02 10:39:39"
"DP/LA/732","LA",732,"C/EGD/1558","Devil's Mark","shoulder","LEM","08/22/02 10:40:56","LEM","08/22/02 10:41:50"
"DP/LA/733","LA",733,"C/EGD/1558","Sex",,"LEM","08/22/02 10:42:19","LEM","08/22/02 10:42:28"
"DP/LA/734","LA",734,"C/EGD/1558","New name","Janet","LEM","08/22/02 11:30:16","LEM","08/22/02 11:30:41"
"DP/LA/735","LA",735,"C/LA/3264","Anti-baptism",,"LEM","08/26/02 17:11:32","LEM","08/26/02 17:11:32"
"DP/LA/736","LA",736,"C/LA/3264","New name","May","LEM","08/26/02 17:11:33","LEM","08/26/02 17:11:43"
"DP/LA/737","LA",737,"C/LA/3274","Anti-baptism",,"LEM","08/26/02 18:27:48","LEM","08/26/02 18:27:49"
"DP/LA/738","LA",738,"C/LA/3274","Servant",,"LEM","08/26/02 18:27:50","LEM","08/26/02 18:27:52"
"DP/LA/739","LA",739,"C/LA/3276","Paction",,"LEM","08/26/02 18:41:53","LEM","08/26/02 18:42:26"
"DP/LA/74","LA",74,"C/EGD/380","Anti-baptism",,"LEM","06/29/01 11:05:23","LEM","06/29/01 11:05:24"
"DP/LA/740","LA",740,"C/EGD/587","Servant",,"LEM","08/28/02 11:04:17","LEM","08/28/02 11:04:18"
"DP/LA/741","LA",741,"C/EGD/587","Sex",,"LEM","08/28/02 11:04:20","LEM","08/28/02 11:04:21"
"DP/LA/742","LA",742,"C/EGD/587","Devil's Mark",,"LEM","08/28/02 11:04:22","LEM","08/28/02 11:04:28"
"DP/LA/743","LA",743,"C/EGD/589","Anti-baptism",,"LEM","08/28/02 12:00:39","LEM","08/28/02 12:00:39"
"DP/LA/744","LA",744,"C/EGD/589","Paction",,"LEM","08/28/02 12:00:41","LEM","08/28/02 12:00:41"
"DP/LA/745","LA",745,"C/EGD/588","Servant",,"LEM","08/28/02 12:11:15","LEM","08/28/02 12:11:16"
"DP/LA/746","LA",746,"C/EGD/588","Devil's Mark",,"LEM","08/28/02 12:11:16","LEM","08/28/02 12:11:17"
"DP/LA/747","LA",747,"C/EGD/588","Sex",,"LEM","08/28/02 12:11:19","LEM","08/28/02 12:11:22"
"DP/LA/748","LA",748,"C/LA/3277","Sex",,"LEM","08/28/02 17:38:59","LEM","08/28/02 17:39:00"
"DP/LA/749","LA",749,"C/LA/3277","Devil's Mark",,"LEM","08/28/02 17:39:09","LEM","08/28/02 17:39:11"
"DP/LA/75","LA",75,"C/EGD/380","Sex",,"LEM","06/29/01 11:05:28","LEM","06/29/01 11:05:30"
"DP/LA/750","LA",750,"C/LA/3278","Paction",,"LEM","08/28/02 17:45:40","LEM","08/28/02 17:45:41"
"DP/LA/751","LA",751,"C/LA/3278","Anti-baptism",,"LEM","08/28/02 17:45:42","LEM","08/28/02 17:45:42"
