DevilRef,DevilSystemId,DevilID,CaseRef,Devil_Type,Devil_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DVA/JO/161","JO",161,"C/JO/2905","Male","gentleman","jhm","10/19/01 12:59:24","jhm","10/01/02 09:53:29"
"DVA/JO/162","JO",162,"C/EGD/1374","Male","in black clothes","jhm","10/19/01 13:08:00","jhm","10/01/02 09:53:08"
"DVA/JO/163","JO",163,"C/EGD/1374","Animal Devil","dog","jhm","10/19/01 13:08:13","jhm","10/19/01 13:08:32"
"DVA/JO/21","JO",21,"C/EGD/2121","Male","a little cuttie fellow with a staff","jhm","06/05/01 14:47:14","jhm","10/24/02 09:40:21"
"DVA/JO/22","JO",22,"C/EGD/2121","Animal Devil","magpie","jhm","06/05/01 14:50:03","jhm","06/05/01 14:50:46"
"DVA/JO/229","JO",229,"C/EGD/2453","Spirit","non-visible spirits","jhm","10/23/01 10:49:37","jhm","10/23/01 10:50:03"
"DVA/JO/23","JO",23,"C/EGD/2121","Animal Devil","jackdaw","jhm","06/05/01 14:50:47","jhm","06/05/01 14:51:21"
"DVA/JO/236","JO",236,"C/EGD/1818","Male",,"jhm","11/27/01 13:40:42","jhm","10/22/02 13:02:41"
"DVA/JO/237","JO",237,"C/EGD/1818","Animal Devil","young dog","jhm","11/27/01 13:40:46","jhm","11/27/01 13:45:34"
"DVA/JO/238","JO",238,"C/EGD/1818","Animal Devil","young brown dog","jhm","11/27/01 13:45:36","jhm","11/27/01 13:45:49"
"DVA/JO/24","JO",24,"C/EGD/1324","Animal Devil","black dog","jhm","06/13/01 12:37:32","jhm","06/13/01 12:37:50"
"DVA/JO/249","JO",249,"C/EGD/2387","Male",,"jhm","02/07/02 10:24:57","jhm","10/29/02 10:06:26"
"DVA/JO/25","JO",25,"C/EGD/1323","Male","man wearing green clothes","jhm","06/13/01 13:15:21","jhm","10/03/02 14:38:15"
"DVA/JO/250","JO",250,"C/EGD/1856","Animal Devil","round headed cat","jhm","02/07/02 11:19:18","jhm","02/07/02 11:26:37"
"DVA/JO/251","JO",251,"C/EGD/1856","Animal Devil","black dog","jhm","02/07/02 11:19:22","jhm","02/07/02 11:19:31"
"DVA/JO/252","JO",252,"C/EGD/1856","Male","cold man","jhm","02/07/02 11:21:18","jhm","10/22/02 14:32:27"
"DVA/JO/253","JO",253,"C/JO/2959","Male",,"jhm","02/07/02 15:16:53","LEM","10/31/02 16:16:02"
"DVA/JO/254","JO",254,"C/EGD/1848","Male",,"jhm","02/07/02 16:01:56","jhm","10/22/02 14:16:23"
"DVA/JO/255","JO",255,"C/EGD/1855","Animal Devil","cat","jhm","02/14/02 10:45:04","jhm","02/14/02 10:45:10"
"DVA/JO/256","JO",256,"C/EGD/1855","Animal Devil","dog","jhm","02/14/02 10:45:11","jhm","02/14/02 10:45:15"
"DVA/JO/31","JO",31,"C/EGD/604","Male","leper","jhm","06/27/01 12:11:38","LEM","11/07/02 12:56:24"
"DVA/JO/312","JO",312,"C/EGD/2153","Animal Devil","Beast","jhm","03/07/02 16:22:30","jhm","03/07/02 16:22:44"
"DVA/JO/313","JO",313,"C/EGD/2172","Female Fairy","Quene of Elphen","jhm","05/08/02 16:44:26","jhm","05/08/02 16:44:48"
"DVA/JO/314","JO",314,"C/EGD/2172","Spirit","Christonday/Angel","jhm","05/08/02 16:44:54","jhm","05/09/02 12:23:10"
"DVA/JO/315","JO",315,"C/EGD/2172","Ghost","Thomas Rhymer/James IV","jhm","05/08/02 16:47:07","jhm","05/08/02 16:47:26"
"DVA/JO/316","JO",316,"C/EGD/2172","Animal Devil","Stag deer","jhm","05/08/02 16:50:35","jhm","05/08/02 16:50:51"
"DVA/JO/317","JO",317,"C/EGD/2172","Other Demon","Black beast","jhm","05/09/02 12:23:16","jhm","05/09/02 12:25:34"
"DVA/JO/319","JO",319,"C/EGD/2159","Male","Old beared man in white","jhm","05/09/02 13:03:46","jhm","10/24/02 11:26:01"
"DVA/JO/320","JO",320,"C/EGD/2159","Male","no details","jhm","05/09/02 13:04:35","jhm","10/24/02 11:26:01"
"DVA/JO/321","JO",321,"C/EGD/2160","Animal Devil","as a lamb","jhm","05/09/02 16:54:18","jhm","05/09/02 16:54:33"
"DVA/JO/322","JO",322,"C/EGD/2160","Animal Devil","as a calf","jhm","05/09/02 16:55:02","jhm","05/09/02 16:55:30"
"DVA/JO/323","JO",323,"C/EGD/2162","Animal Devil","as beast","jhm","06/03/02 15:27:27","jhm","06/03/02 15:27:47"
"DVA/JO/324","JO",324,"C/JO/3033","Animal Devil","grey stag","jhm","06/10/02 17:31:52","jhm","06/10/02 17:32:56"
"DVA/JO/325","JO",325,"C/JO/3033","Animal Devil","bird","jhm","06/10/02 17:32:07","jhm","06/10/02 17:32:23"
"DVA/JO/326","JO",326,"C/JO/3033","Animal Devil","horse","jhm","06/10/02 17:36:59","jhm","06/10/02 17:37:13"
"DVA/JO/327","JO",327,"C/EGD/2130","Male","little cripple man","jhm","06/10/02 18:11:05","jhm","10/24/02 10:15:44"
"DVA/JO/328","JO",328,"C/EGD/2141","Male",,"jhm","06/10/02 21:45:23","jhm","10/24/02 10:30:16"
"DVA/JO/329","JO",329,"C/EGD/2141","Animal Devil","unspecified beast","jhm","06/10/02 21:45:33","jhm","06/10/02 21:45:47"
"DVA/JO/330","JO",330,"C/EGD/2141","Animal Devil","black stag","jhm","06/10/02 21:46:01","jhm","06/10/02 21:46:04"
"DVA/JO/331","JO",331,"C/EGD/2141","Male","in silk clothing/white candle in hand","jhm","06/10/02 21:46:11","jhm","10/24/02 10:30:14"
"DVA/JO/332","JO",332,"C/EGD/2141","Male","black man","jhm","06/10/02 21:46:37","jhm","10/24/02 10:30:13"
"DVA/JO/333","JO",333,"C/EGD/2141","Female","dressed in white wylicoat","jhm","06/10/02 21:48:49","jhm","10/24/02 10:30:12"
"DVA/JO/334","JO",334,"C/JO/3046","Male","man","jhm","06/17/02 16:04:03","LEM","10/31/02 12:58:16"
"DVA/JO/335","JO",335,"C/JO/3046",,,"jhm","06/19/02 15:41:48","jhm","06/19/02 15:41:51"
"DVA/JO/336","JO",336,"C/EGD/2327","Animal Devil","crows","jhm","06/19/02 16:02:33","jhm","06/19/02 16:02:48"
"DVA/JO/342","JO",342,"C/JO/3059","Spirit","as angel","jhm","06/27/02 14:32:02","jhm","06/27/02 14:32:18"
"DVA/JO/343","JO",343,"C/JO/3059","Male","as Thomas Murray","jhm","06/27/02 14:34:48","LEM","10/31/02 12:45:27"
"DVA/JO/344","JO",344,"C/JO/3068","Male","man in green clothes","jhm","07/02/02 09:21:16","LEM","11/11/02 11:25:34"
"DVA/JO/345","JO",345,"C/EGD/297","Male","in brown clothes and black hat","jhm","07/03/02 16:22:54","jhm","11/04/02 09:36:31"
"DVA/JO/346","JO",346,"C/EGD/294","Male",,"jhm","07/04/02 11:27:32","jhm","10/31/02 12:38:57"
"DVA/JO/347","JO",347,"C/EGD/294","Female","wearing green waistcoat with grey tails","jhm","07/04/02 11:53:18","jhm","10/31/02 12:38:53"
"DVA/JO/348","JO",348,"C/EGD/291","Male","in grey clothes and blue hat","jhm","07/04/02 14:00:03","jhm","10/31/02 12:14:02"
"DVA/JO/349","JO",349,"C/EGD/291","Fairy","in green waistcoat and grey gown","jhm","07/04/02 14:00:13","jhm","10/31/02 12:14:01"
"DVA/JO/350","JO",350,"C/EGD/291","Female","in white gown","jhm","07/04/02 14:00:39","jhm","10/31/02 12:13:59"
"DVA/JO/351","JO",351,"C/EGD/294","Animal Devil","feltered beast","jhm","07/04/02 14:21:26","jhm","07/04/02 14:22:32"
"DVA/JO/352","JO",352,"C/EGD/293","Female","woman with black pot","jhm","07/04/02 15:17:00","jhm","10/31/02 12:31:12"
"DVA/JO/354","JO",354,"C/EGD/2373","Male",,"jhm","07/11/02 10:55:29","jhm","10/29/02 09:29:33"
"DVA/JO/355","JO",355,"C/EGD/1813","Male","grim man in black clothes","jhm","07/11/02 12:45:09","jhm","10/22/02 12:05:25"
"DVA/JO/356","JO",356,"C/EGD/1628","Male","in grey clothes","jhm","07/11/02 13:42:37","jhm","10/21/02 13:40:58"
"DVA/JO/357","JO",357,"C/EGD/1627","Male","in brown clothes","jhm","07/11/02 13:49:48","jhm","10/21/02 13:38:23"
"DVA/JO/358","JO",358,"C/JO/3093","Unspecified Devil",,"jhm","07/18/02 10:28:22","jhm","07/18/02 10:29:33"
"DVA/JO/359","JO",359,"C/EGD/2161","Animal Devil","four legged beast","jhm","07/18/02 10:41:52","jhm","07/18/02 10:42:39"
"DVA/JO/369","JO",369,"C/EGD/831","Animal Devil","black dog","jhm","08/02/02 15:29:11","jhm","08/02/02 15:29:23"
"DVA/JO/395","JO",395,"C/EGD/1533","Male","man","jhm","08/27/02 09:30:46","jhm","10/08/02 14:23:40"
"DVA/JO/396","JO",396,"C/EGD/1527","Male","young man","jhm","08/27/02 10:26:12","jhm","10/08/02 12:31:43"
"DVA/JO/397","JO",397,"C/EGD/604","Male","gross copperfaced man","jhm","08/27/02 11:19:42","LEM","11/07/02 12:56:06"
"DVA/JO/398","JO",398,"C/JO/3246","Animal Devil","little brown dog","jhm","08/27/02 11:53:44","jhm","08/27/02 11:54:04"
"DVA/JO/399","JO",399,"C/JO/3246","Male","well favoured young man","jhm","08/27/02 11:54:05","LEM","10/30/02 14:02:19"
"DVA/JO/400","JO",400,"C/JO/3246","Animal Devil","cat","jhm","08/27/02 11:54:56","jhm","08/27/02 11:55:13"
"DVA/JO/401","JO",401,"C/JO/3248","Male","black rough fierce man","jhm","08/27/02 14:09:38","LEM","10/30/02 13:43:10"
"DVA/JO/402","JO",402,"C/JO/3248","Male","with a white 'midell'","jhm","08/28/02 09:52:18","LEM","10/30/02 13:42:47"
"DVA/JO/403","JO",403,"C/JO/3248","Male","naked with black head","jhm","08/28/02 09:55:29","LEM","10/30/02 13:42:46"
"DVA/JO/404","JO",404,"C/JO/3248","Ghost","spirit of Adam Ker","jhm","08/28/02 09:58:07","jhm","08/28/02 09:58:21"
"DVA/JO/405","JO",405,"C/JO/3248","Male","called Klareanough","jhm","08/28/02 10:02:01","LEM","10/30/02 13:42:44"
"DVA/JO/406","JO",406,"C/EGD/2148","Spirit","Christonday","jhm","10/24/02 10:56:45","jhm","10/24/02 10:56:55"
"DVA/JO/407","JO",407,"C/EGD/2255","Fairy",,"jhm","10/24/02 15:53:26","jhm","10/28/02 16:36:56"
"DVA/JO/79","JO",79,"C/JO/2830","Male","little, black man","jhm","07/10/01 10:04:24","LEM","11/01/02 14:43:48"
"DVA/JO/80","JO",80,"C/JO/2830","Male","in green cothes","jhm","07/10/01 10:04:37","LEM","11/01/02 14:43:45"
"DVA/JO/81","JO",81,"C/LA/2786","Male","man in black","jhm","07/10/01 10:33:01","LEM","11/11/02 11:26:11"
"DVA/JO/83","JO",83,"C/LA/2785","Male","in black clothes","jhm","07/10/01 12:04:37","LEM","11/11/02 11:26:28"
"DVA/JO/84","JO",84,"C/EGD/395","Male","heavy as millstone","jhm","07/10/01 12:42:26","jhm","11/06/02 12:35:02"
"DVA/JO/85","JO",85,"C/EGD/397","Male","black man","jhm","07/10/01 12:59:45","jhm","11/06/02 12:38:50"
"DVA/JO/86","JO",86,"C/EGD/1954","Male","very well clothed","jhm","07/10/01 15:41:42","jhm","10/23/02 11:09:25"
"DVA/JO/87","JO",87,"C/EGD/401","Male",,"jhm","07/10/01 16:05:29","jhm","11/06/02 12:59:31"
"DVA/JO/88","JO",88,"C/JO/2832","Male",,"jhm","07/11/01 10:58:36","LEM","11/01/02 14:41:48"
"DVA/JO/89","JO",89,"C/EGD/1954","Male","cloven feet","jhm","07/11/01 11:04:38","jhm","10/23/02 11:09:24"
"DVA/LA/1","LA",1,"C/EGD/160","Unspecified Devil",,"LEM","05/17/01 10:48:30","LEM","05/17/01 10:48:35"
"DVA/LA/10","LA",10,"C/EGD/166","Male","man in grey clothes","LEM","05/21/01 11:14:12","jhm","10/21/02 14:59:24"
"DVA/LA/100","LA",100,"C/EGD/365","Insect Devil","Bee","LEM","07/16/01 12:59:39","LEM","07/16/01 12:59:46"
"DVA/LA/101","LA",101,"C/EGD/365","Male","pretty boy in Green Clothes","LEM","07/16/01 12:59:49","jhm","11/05/02 14:01:32"
"DVA/LA/102","LA",102,"C/EGD/364","Male","young man","LEM","07/16/01 13:18:27","jhm","11/05/02 10:00:37"
"DVA/LA/103","LA",103,"C/EGD/384","Male","meikle headed body","LEM","07/16/01 13:23:42","jhm","11/05/02 15:31:09"
"DVA/LA/104","LA",104,"C/EGD/406","Male",,"LEM","07/16/01 14:53:17","jhm","11/06/02 14:14:52"
"DVA/LA/105","LA",105,"C/EGD/1398","Male",,"LEM","07/16/01 15:00:38","jhm","10/07/02 14:28:33"
"DVA/LA/106","LA",106,"C/EGD/377","Male","with green clothes","LEM","07/17/01 10:16:14","LEM","10/10/02 15:42:25"
"DVA/LA/114","LA",114,"C/EGD/576","Spirit","as a woman","LEM","09/05/01 10:28:38","LEM","09/05/01 10:28:44"
"DVA/LA/115","LA",115,"C/EGD/576","Female Fairy","queen of fairy","LEM","09/05/01 10:31:48","LEM","11/06/01 14:52:28"
"DVA/LA/116","LA",116,"C/EGD/606","Male",,"LEM","09/07/01 10:41:23","LEM","11/11/02 11:26:41"
"DVA/LA/117","LA",117,"C/EGD/607","Male",,"LEM","09/07/01 10:44:23","LEM","11/07/02 12:47:08"
"DVA/LA/118","LA",118,"C/EGD/609","Male","gentleman","LEM","09/07/01 10:50:05","LEM","11/07/02 12:45:08"
"DVA/LA/119","LA",119,"C/EGD/608","Male","Sade coloured habit","LEM","09/07/01 12:04:01","LEM","11/07/02 12:46:23"
"DVA/LA/12","LA",12,"C/EGD/162","Male","black man in black clothes","LEM","05/21/01 13:23:31","jhm","10/18/02 16:12:50"
"DVA/LA/120","LA",120,"C/EGD/607","Spirit","her's named Laurie Moir","LEM","09/07/01 12:34:38","LEM","09/07/01 12:35:07"
"DVA/LA/121","LA",121,"C/EGD/608","Spirit","her's named Peter Drysdale","LEM","09/07/01 12:35:27","LEM","09/07/01 12:35:46"
"DVA/LA/122","LA",122,"C/EGD/606","Spirit","Peiter Solloway","LEM","09/07/01 12:43:52","LEM","09/07/01 12:44:01"
"DVA/LA/123","LA",123,"C/EGD/691","Male",,"LEM","09/11/01 11:52:03","LEM","11/06/02 15:45:23"
"DVA/LA/124","LA",124,"C/EGD/616","Male",,"LEM","09/11/01 11:56:39","LEM","11/07/02 12:36:51"
"DVA/LA/127","LA",127,"C/EGD/694","Male",,"LEM","09/11/01 12:08:07","LEM","11/06/02 15:28:06"
"DVA/LA/128","LA",128,"C/EGD/693","Male",,"LEM","09/11/01 12:59:13","LEM","11/06/02 15:34:28"
"DVA/LA/129","LA",129,"C/EGD/692","Male","Black Man in black clothes","LEM","09/11/01 13:06:14","LEM","11/06/02 15:38:02"
"DVA/LA/130","LA",130,"C/EGD/622","Male","an English healer named Webb","LEM","09/11/01 13:15:40","LEM","11/07/02 12:05:26"
"DVA/LA/131","LA",131,"C/EGD/613","Male",,"LEM","09/11/01 13:23:15","LEM","11/07/02 12:39:59"
"DVA/LA/132","LA",132,"C/EGD/614","Male",,"LEM","09/11/01 13:31:05","LEM","11/07/02 12:38:56"
"DVA/LA/134","LA",134,"C/EGD/696","Male","gentleman","LEM","09/21/01 13:05:10","LEM","11/06/02 15:22:37"
"DVA/LA/137","LA",137,"C/EGD/697","Male","Black man","LEM","09/21/01 13:22:21","LEM","11/06/02 15:20:08"
"DVA/LA/138","LA",138,"C/EGD/34","Female Fairy","Queen of Elphane","LEM","09/25/01 11:58:06","LEM","09/25/01 11:58:14"
"DVA/LA/139","LA",139,"C/EGD/137","Male",,"LEM","09/25/01 16:47:57","jhm","10/03/02 16:24:26"
"DVA/LA/140","LA",140,"C/EGD/137","Animal Devil","Horse","LEM","09/25/01 16:49:28","LEM","09/25/01 16:49:49"
"DVA/LA/141","LA",141,"C/EGD/140","Spirit","Helena McBurnie","LEM","09/25/01 17:03:17","LEM","09/25/01 17:03:58"
"DVA/LA/148","LA",148,"C/EGD/141","Male","Black man","LEM","10/01/01 12:40:15","jhm","10/08/02 08:39:45"
"DVA/LA/149","LA",149,"C/EGD/141","Baby","naked infant bairn","LEM","10/01/01 12:40:29","jhm","10/08/02 08:39:41"
"DVA/LA/15","LA",15,"C/EGD/179","Human Devil","non-specific","LEM","05/22/01 11:48:22","LEM","05/22/01 11:48:33"
"DVA/LA/150","LA",150,"C/EGD/141","Animal Devil","the witch's Cat","LEM","10/01/01 12:41:04","LEM","10/01/01 12:41:18"
"DVA/LA/151","LA",151,"C/EGD/141","Female","in likeness of the accused","LEM","10/01/01 12:41:19","jhm","10/08/02 08:39:43"
"DVA/LA/152","LA",152,"C/EGD/935","Male Fairy","grey beard.","LEM","10/01/01 13:57:52","LEM","10/01/01 13:58:40"
"DVA/LA/153","LA",153,"C/EGD/34","Male Fairy","man in Green clothes","LEM","10/08/01 09:54:06","LEM","10/08/01 09:54:14"
"DVA/LA/154","LA",154,"C/EGD/54","Male","Black man","LEM","10/08/01 14:55:55","jhm","11/07/02 15:03:09"
"DVA/LA/155","LA",155,"C/EGD/59","Male","In quhyte rayment","LEM","10/09/01 09:24:45","jhm","10/10/02 14:33:18"
"DVA/LA/156","LA",156,"C/EGD/59","Male","a black man","LEM","10/09/01 09:39:50","jhm","10/10/02 14:33:14"
"DVA/LA/159","LA",159,"C/EGD/63","Male","black man","LEM","10/09/01 10:05:11","LEM","11/07/02 11:23:23"
"DVA/LA/16","LA",16,"C/LA/2638","Male","a trymme gentleman","LEM","05/22/01 12:16:35","LEM","11/11/02 11:27:06"
"DVA/LA/161","LA",161,"C/EGD/63","Animal Devil","a dog","LEM","10/09/01 10:45:23","LEM","10/09/01 10:46:11"
"DVA/LA/162","LA",162,"C/EGD/63","Spirit","named Elva (Eloa)","LEM","10/09/01 11:52:36","LEM","07/26/02 10:52:05"
"DVA/LA/17","LA",17,"C/LA/2638","Animal Devil","dog","LEM","05/22/01 12:16:58","LEM","05/22/01 12:17:00"
"DVA/LA/18","LA",18,"C/LA/2638","Human Devil","heavy like an ox","LEM","05/22/01 12:17:18","LEM","05/22/01 12:17:23"
"DVA/LA/19","LA",19,"C/EGD/180","Male","Tryme gentleman","LEM","05/22/01 12:24:59","jhm","10/22/02 11:51:49"
"DVA/LA/194","LA",194,"C/EGD/110","Male","mekle black man","LEM","10/10/01 09:18:45","jhm","10/02/02 10:06:08"
"DVA/LA/199","LA",199,"C/EGD/103","Male","black man","LEM","10/10/01 15:22:04","jhm","10/01/02 11:31:22"
"DVA/LA/2","LA",2,"C/EGD/162","Animal Devil","Foil","LEM","05/18/01 12:58:11","LEM","05/18/01 12:58:26"
"DVA/LA/20","LA",20,"C/EGD/180","Animal Devil","rough calf","LEM","05/22/01 12:27:15","LEM","05/22/01 12:28:02"
"DVA/LA/200","LA",200,"C/EGD/104","Male","black man","LEM","10/10/01 15:28:15","jhm","10/01/02 12:00:31"
"DVA/LA/201","LA",201,"C/EGD/107","Male","black man","LEM","10/10/01 15:39:47","jhm","10/01/02 15:04:11"
"DVA/LA/202","LA",202,"C/EGD/108","Male",,"LEM","10/10/01 15:49:57","jhm","10/01/02 15:28:42"
"DVA/LA/205","LA",205,"C/EGD/104","Spirit","in voice","LEM","10/16/01 10:12:51","LEM","10/16/01 10:13:05"
"DVA/LA/206","LA",206,"C/EGD/1268","Male","Black man","LEM","10/16/01 15:24:43","jhm","10/03/02 11:31:00"
"DVA/LA/207","LA",207,"C/EGD/1269","Male","black man","LEM","10/16/01 15:47:11","jhm","10/03/02 11:34:17"
"DVA/LA/208","LA",208,"C/EGD/29","Ghost","Thom Reid","LEM","10/18/01 09:39:14","LEM","10/18/01 09:39:27"
"DVA/LA/209","LA",209,"C/EGD/29","Ghost","The laird of Auchinsteyth who had died","LEM","10/18/01 10:12:25","LEM","10/18/01 10:13:36"
"DVA/LA/210","LA",210,"C/EGD/1329","Male","great man","LEM","10/19/01 09:53:04","jhm","10/03/02 14:57:21"
"DVA/LA/211","LA",211,"C/EGD/1334","Animal Devil","great dog","LEM","10/19/01 10:07:21","LEM","10/19/01 10:07:30"
"DVA/LA/212","LA",212,"C/EGD/1334","Male",,"LEM","10/19/01 10:07:41","jhm","10/03/02 15:11:21"
"DVA/LA/213","LA",213,"C/EGD/1334","Animal Devil","as a foal","LEM","10/19/01 10:11:03","LEM","10/19/01 10:11:10"
"DVA/LA/216","LA",216,"C/EGD/1338","Male","gentleman","LEM","10/19/01 10:32:15","jhm","10/03/02 15:24:09"
"DVA/LA/217","LA",217,"C/EGD/1312","Animal Devil","a black dun dogg","LEM","10/19/01 15:25:02","LEM","10/19/01 15:25:09"
"DVA/LA/218","LA",218,"C/EGD/1312","Male","black man","LEM","10/19/01 15:25:10","jhm","10/03/02 14:08:36"
"DVA/LA/219","LA",219,"C/EGD/1312","Male","black man with a staff","LEM","10/19/01 15:29:52","jhm","10/03/02 14:08:34"
"DVA/LA/226","LA",226,"C/EGD/1322","Male","gentleman","LEM","10/19/01 16:05:15","jhm","10/03/02 14:35:28"
"DVA/LA/227","LA",227,"C/EGD/1322","Animal Devil","meikle grayhound","LEM","10/19/01 16:05:23","LEM","10/19/01 16:05:41"
"DVA/LA/228","LA",228,"C/EGD/1322","Male","man in green clothes","LEM","10/19/01 16:05:41","jhm","10/03/02 14:35:27"
"DVA/LA/229","LA",229,"C/EGD/1308","Male","black man","LEM","10/22/01 15:45:42","jhm","10/03/02 13:54:47"
"DVA/LA/231","LA",231,"C/EGD/1306","Male","black man","LEM","10/22/01 16:20:37","LEM","11/11/02 11:28:04"
"DVA/LA/233","LA",233,"C/EGD/1310","Animal Devil","as a meikle rouch dog with speech","LEM","10/23/01 10:35:07","LEM","10/23/01 10:35:15"
"DVA/LA/234","LA",234,"C/EGD/1310","Animal Devil","colt foal","LEM","10/23/01 10:35:19","LEM","10/23/01 10:35:27"
"DVA/LA/235","LA",235,"C/EGD/1310","Male","the spirit of her dead husband","LEM","10/23/01 10:35:29","jhm","10/03/02 14:04:31"
"DVA/LA/236","LA",236,"C/EGD/228","Male","Meikle blak man","LEM","11/26/01 12:10:32","jhm","10/24/02 16:45:30"
"DVA/LA/237","LA",237,"C/EGD/785","Male","as her husband","LEM","11/26/01 15:53:36","LEM","11/06/02 09:54:14"
"DVA/LA/239","LA",239,"C/EGD/1379","Male",,"LEM","11/29/01 14:21:05","jhm","10/03/02 16:39:21"
"DVA/LA/24","LA",24,"C/EGD/1094","Spirit","a familiar spreit","LEM","06/12/01 12:26:24","LEM","06/12/01 12:27:24"
"DVA/LA/240","LA",240,"C/EGD/792","Male Fairy",,"LEM","11/30/01 10:09:09","LEM","11/30/01 10:09:10"
"DVA/LA/241","LA",241,"C/EGD/792","Male",,"LEM","11/30/01 10:09:13","LEM","11/05/02 16:34:03"
"DVA/LA/242","LA",242,"C/EGD/1749","Male","Black man","LEM","01/16/02 10:49:05","jhm","10/22/02 09:25:18"
"DVA/LA/243","LA",243,"C/EGD/1748","Male","black man in black clothes","LEM","01/16/02 11:46:28","jhm","10/22/02 09:22:02"
"DVA/LA/244","LA",244,"C/EGD/1747","Male","black man in black clothes","LEM","01/16/02 11:58:54","jhm","10/22/02 09:04:20"
"DVA/LA/245","LA",245,"C/EGD/1746","Male","black man","LEM","01/16/02 12:13:44","jhm","10/22/02 08:59:25"
"DVA/LA/246","LA",246,"C/EGD/1746","Spirit","a man like her dead husband","LEM","01/16/02 12:18:36","LEM","01/16/02 12:18:45"
"DVA/LA/247","LA",247,"C/EGD/1745","Male","black man","LEM","01/16/02 12:25:54","jhm","10/22/02 08:55:28"
"DVA/LA/248","LA",248,"C/EGD/1744","Male","black man","LEM","01/16/02 12:36:44","jhm","10/22/02 08:51:48"
"DVA/LA/249","LA",249,"C/EGD/1773","Male","black shawl and black hood","LEM","01/30/02 13:29:06","LEM","11/11/02 11:19:39"
"DVA/LA/250","LA",250,"C/EGD/1773","Male","black-haired mane, black coat, blue cravat","LEM","01/30/02 13:31:05","LEM","11/11/02 11:19:37"
"DVA/LA/251","LA",251,"C/EGD/1777","Male","black hood and shawl","LEM","01/30/02 16:18:55","jhm","10/22/02 10:30:18"
"DVA/LA/252","LA",252,"C/EGD/1773","Female","Antiochia, gentle wife of the Devil","LEM","01/31/02 09:11:08","LEM","11/11/02 11:19:35"
"DVA/LA/253","LA",253,"C/LA/2959","Male","black shawl, black hood","LEM","01/31/02 09:26:22","LEM","11/11/02 11:20:40"
"DVA/LA/254","LA",254,"C/LA/2959","Male",,"LEM","01/31/02 09:26:44","LEM","11/11/02 11:20:18"
"DVA/LA/255","LA",255,"C/LA/2959","Female","Antiochia, gentle wife of the devil","LEM","01/31/02 09:27:01","LEM","11/11/02 11:20:17"
"DVA/LA/256","LA",256,"C/EGD/1778","Male","black shawl and hood","LEM","01/31/02 09:30:09","jhm","10/22/02 10:34:59"
"DVA/LA/257","LA",257,"C/EGD/1778","Male","black mane, black coat, blue cravat","LEM","01/31/02 09:30:22","jhm","10/22/02 10:34:58"
"DVA/LA/258","LA",258,"C/EGD/1778","Female","Antiochia, gentle wife of the devil","LEM","01/31/02 09:30:37","jhm","10/22/02 10:34:57"
"DVA/LA/259","LA",259,"C/EGD/1781","Male","black shawl and hood","LEM","01/31/02 09:32:34","jhm","10/22/02 10:53:33"
"DVA/LA/26","LA",26,"C/EGD/169","Unspecified Devil",,"LEM","06/14/01 13:42:42","LEM","06/14/01 13:42:47"
"DVA/LA/260","LA",260,"C/EGD/1781","Male","black mane, black coat, blue cravat","LEM","01/31/02 09:32:45","jhm","10/22/02 10:53:32"
"DVA/LA/261","LA",261,"C/EGD/1781","Female","Antiochia, gentle wife of the devil","LEM","01/31/02 09:32:56","jhm","10/22/02 10:53:31"
"DVA/LA/262","LA",262,"C/EGD/1774","Male","black shawl and hood","LEM","01/31/02 09:35:38","jhm","10/22/02 10:23:30"
"DVA/LA/263","LA",263,"C/EGD/1774","Male","black mane, black coat, blue cravat","LEM","01/31/02 09:35:47","jhm","10/22/02 10:23:29"
"DVA/LA/264","LA",264,"C/EGD/1774","Female","Antiochia, gentle wife of the devil","LEM","01/31/02 09:35:58","jhm","10/22/02 10:23:27"
"DVA/LA/265","LA",265,"C/EGD/1780","Male","black shawl and hood","LEM","01/31/02 09:46:32","jhm","10/22/02 10:49:52"
"DVA/LA/266","LA",266,"C/EGD/1780","Male","black mane, black coat, blue cravat","LEM","01/31/02 09:46:42","jhm","10/22/02 10:49:51"
"DVA/LA/267","LA",267,"C/EGD/1780","Female","Antiochia, gentle wife of the devil","LEM","01/31/02 09:46:54","jhm","10/22/02 10:49:50"
"DVA/LA/268","LA",268,"C/EGD/1777","Male","black mane, black coat, blue cravat","LEM","01/31/02 09:48:55","jhm","10/22/02 10:30:17"
"DVA/LA/269","LA",269,"C/EGD/1777","Female","Antiochia, gentle wife of the devil","LEM","01/31/02 09:49:04","jhm","10/22/02 10:30:15"
"DVA/LA/27","LA",27,"C/EGD/173","Male","grey clothes","LEM","06/15/01 12:27:40","jhm","10/22/02 08:29:29"
"DVA/LA/270","LA",270,"C/EGD/1935","Male","black shawl and hood","LEM","01/31/02 10:38:47","jhm","10/23/02 10:49:20"
"DVA/LA/271","LA",271,"C/EGD/1935","Male","black mane, black coat, blue cravat","LEM","01/31/02 10:38:56","jhm","10/23/02 10:49:19"
"DVA/LA/272","LA",272,"C/EGD/1935","Female","Antiochia, gentle wife of the devil","LEM","01/31/02 10:39:13","jhm","10/23/02 10:49:18"
"DVA/LA/274","LA",274,"C/LA/2968","Male",,"LEM","01/31/02 13:18:47","LEM","11/11/02 11:20:58"
