DevilRef,DevilSystemId,DevilID,CaseRef,Devil_Type,Devil_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DVA/LA/315","LA",315,"C/EGD/301","Male","black clothes and a cloven lip","LEM","05/07/02 15:53:03","jhm","11/04/02 12:39:56"
"DVA/LA/316","LA",316,"C/EGD/238","Male","black man","LEM","05/07/02 16:32:05","jhm","10/29/02 09:47:01"
"DVA/LA/317","LA",317,"C/EGD/238","Male","with a cloven lip","LEM","05/07/02 16:35:05","jhm","10/29/02 09:47:00"
"DVA/LA/32","LA",32,"C/EGD/371","Male","green clothes","LEM","06/27/01 16:16:42","jhm","11/05/02 14:21:05"
"DVA/LA/323","LA",323,"C/EGD/435","Fairy","a bonnie lass","LEM","06/06/02 12:43:55","jhm","11/07/02 09:13:25"
"DVA/LA/324","LA",324,"C/EGD/435","Male","gentleman","LEM","06/06/02 12:45:05","jhm","11/07/02 09:13:22"
"DVA/LA/325","LA",325,"C/EGD/435","Male","green clothes","LEM","06/06/02 12:45:12","jhm","11/07/02 09:13:32"
"DVA/LA/33","LA",33,"C/EGD/374","Male","black man","LEM","06/27/01 16:22:14","jhm","11/05/02 14:44:11"
"DVA/LA/334","LA",334,"C/EGD/2478","Male Fairy",,"LEM","06/17/02 16:36:24","LEM","06/17/02 16:36:26"
"DVA/LA/335","LA",335,"C/EGD/2244","Male","white clothes with a white head and a grey beard","LEM","06/19/02 11:02:36","jhm","10/24/02 15:34:18"
"DVA/LA/336","LA",336,"C/EGD/2264","Male","black man","LEM","06/19/02 11:11:06","jhm","10/24/02 16:22:07"
"DVA/LA/337","LA",337,"C/EGD/2212","Male","in black","LEM","06/19/02 11:59:56","jhm","10/24/02 14:35:22"
"DVA/LA/338","LA",338,"C/EGD/2212","Male","in green tartan","LEM","06/19/02 12:00:01","jhm","10/24/02 14:35:21"
"DVA/LA/339","LA",339,"C/EGD/2212","Male Fairy","who was her kinsman","LEM","06/19/02 12:05:03","LEM","06/19/02 12:05:15"
"DVA/LA/34","LA",34,"C/EGD/373","Male",,"LEM","06/28/01 09:20:46","jhm","11/05/02 14:27:44"
"DVA/LA/340","LA",340,"C/EGD/2220","Male","The bowman of Hildiswick and Eschenes","LEM","06/19/02 14:00:40","jhm","10/24/02 15:00:04"
"DVA/LA/341","LA",341,"C/EGD/2219","Child Devil","a little creature, the bowman's bairn","LEM","06/19/02 14:29:59","LEM","06/19/02 14:30:32"
"DVA/LA/342","LA",342,"C/EGD/687","Male","black grim man","LEM","06/25/02 11:05:42","LEM","11/11/02 11:28:18"
"DVA/LA/343","LA",343,"C/EGD/624","Male",,"LEM","06/25/02 11:21:38","LEM","11/07/02 12:03:37"
"DVA/LA/344","LA",344,"C/LA/3061","Male","black grim man in black clothes","LEM","06/25/02 12:33:20","LEM","11/11/02 11:28:50"
"DVA/LA/345","LA",345,"C/EGD/620","Male","black man","LEM","06/25/02 13:13:34","LEM","11/07/02 12:09:27"
"DVA/LA/346","LA",346,"C/EGD/616","Male","Green Clothes","LEM","06/25/02 13:35:17","LEM","11/07/02 12:36:42"
"DVA/LA/347","LA",347,"C/EGD/702","Male","as a Gallant young man","LEM","07/04/02 13:53:10","LEM","11/06/02 14:55:19"
"DVA/LA/348","LA",348,"C/EGD/703","Male","black man with black clothes","LEM","07/04/02 14:23:17","LEM","11/06/02 14:53:18"
"DVA/LA/349","LA",349,"C/EGD/703","Animal Devil","black dog","LEM","07/04/02 14:23:30","LEM","07/04/02 14:23:35"
