MotifRef,MotifSystemId,MotifID,CaseRef,Motif_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"RM/LA/19","LA",19,"C/EGD/142","Nine","LEM","10/01/01 13:35:51","LEM","10/01/01 13:35:54"
"RM/LA/2","LA",2,"C/EGD/170","Three","LEM","05/21/01 15:02:25","LEM","05/21/01 15:02:31"
"RM/LA/20","LA",20,"C/EGD/142","Holy water","LEM","10/01/01 13:38:14","LEM","10/01/01 13:38:19"
"RM/LA/21","LA",21,"C/EGD/935","Prayer","LEM","10/01/01 13:53:58","LEM","10/01/01 13:54:00"
"RM/LA/22","LA",22,"C/EGD/935","Three","LEM","10/01/01 14:02:40","LEM","10/01/01 14:02:44"
"RM/LA/23","LA",23,"C/EGD/935","Nine","LEM","10/01/01 14:02:45","LEM","10/01/01 14:02:46"
"RM/LA/24","LA",24,"C/EGD/149","Prayer","LEM","10/01/01 16:52:27","LEM","10/01/01 16:52:29"
"RM/LA/25","LA",25,"C/EGD/137","Nine","LEM","10/03/01 09:41:21","LEM","10/03/01 09:41:23"
"RM/LA/26","LA",26,"C/EGD/131","Prayer","LEM","10/03/01 10:18:44","LEM","10/03/01 10:18:46"
"RM/LA/27","LA",27,"C/EGD/131","Nine","LEM","10/03/01 10:20:19","LEM","10/03/01 10:20:20"
"RM/LA/28","LA",28,"C/EGD/136","Three","LEM","10/03/01 10:37:04","LEM","10/03/01 10:37:05"
"RM/LA/29","LA",29,"C/EGD/136","Prayer","LEM","10/03/01 10:37:16","LEM","10/03/01 10:37:41"
"RM/LA/3","LA",3,"C/EGD/183","Prayer","LEM","05/22/01 15:27:14","LEM","05/22/01 15:27:15"
"RM/LA/30","LA",30,"C/EGD/136","Saints","LEM","10/03/01 10:39:15","LEM","10/03/01 10:39:16"
"RM/LA/31","LA",31,"C/EGD/59","Eschatology","LEM","10/09/01 09:33:34","LEM","10/09/01 09:35:23"
"RM/LA/32","LA",32,"C/EGD/63","Prayer","LEM","10/09/01 10:32:14","LEM","10/09/01 10:32:16"
"RM/LA/33","LA",33,"C/EGD/63","Nine","LEM","10/09/01 12:49:56","LEM","10/09/01 12:49:57"
"RM/LA/34","LA",34,"C/EGD/63","Six","LEM","10/09/01 12:49:58","LEM","10/09/01 12:50:02"
"RM/LA/37","LA",37,"C/EGD/110","Baptising animals","LEM","10/10/01 09:34:08","LEM","10/10/01 09:34:10"
"RM/LA/38","LA",38,"C/EGD/1268","Nine","LEM","10/16/01 15:27:50","LEM","10/16/01 15:27:51"
"RM/LA/39","LA",39,"C/EGD/1268","Three","LEM","10/16/01 15:27:52","LEM","10/16/01 15:27:53"
"RM/LA/4","LA",4,"C/EGD/1605","Three","LEM","06/19/01 13:43:58","LEM","06/19/01 13:44:02"
"RM/LA/40","LA",40,"C/EGD/1278","Three","LEM","10/18/01 12:25:37","LEM","10/18/01 12:25:39"
"RM/LA/41","LA",41,"C/EGD/1284","Nine","LEM","10/23/01 10:47:08","LEM","10/23/01 10:47:11"
"RM/LA/42","LA",42,"C/EGD/882","Prayer","LEM","10/23/01 14:58:35","LEM","10/23/01 14:58:36"
"RM/LA/43","LA",43,"C/EGD/882","Three","LEM","10/23/01 14:58:37","LEM","10/23/01 15:00:34"
"RM/LA/44","LA",44,"C/EGD/882","Sign of the cross","LEM","10/23/01 15:03:23","LEM","10/23/01 15:03:44"
"RM/LA/45","LA",45,"C/EGD/789","Prayer","LEM","11/30/01 11:02:00","LEM","11/30/01 11:02:08"
"RM/LA/46","LA",46,"C/EGD/791","Prayer","LEM","11/30/01 11:02:16","LEM","11/30/01 11:02:17"
"RM/LA/47","LA",47,"C/EGD/792","Prayer","LEM","11/30/01 11:02:25","LEM","11/30/01 11:02:26"
"RM/LA/48","LA",48,"C/EGD/790","Prayer","LEM","11/30/01 11:52:43","LEM","11/30/01 11:52:45"
"RM/LA/49","LA",49,"C/EGD/793","Prayer","LEM","11/30/01 12:52:25","LEM","11/30/01 12:52:32"
"RM/LA/50","LA",50,"C/EGD/798","Prayer","LEM","11/30/01 15:08:38","LEM","11/30/01 15:08:41"
"RM/LA/54","LA",54,"C/EGD/1094","Three","LEM","05/02/02 15:54:31","LEM","05/02/02 15:54:33"
"RM/LA/55","LA",55,"C/EGD/1094","Trinity","LEM","05/02/02 15:55:46","LEM","05/02/02 15:55:48"
"RM/LA/70","LA",70,"C/EGD/2219","Nine","LEM","06/19/02 14:25:47","LEM","06/19/02 14:25:49"
"RM/LA/71","LA",71,"C/EGD/2235","Three","LEM","06/19/02 15:30:21","LEM","06/19/02 15:30:22"
"RM/LA/72","LA",72,"C/EGD/2235","Trinity","LEM","06/19/02 15:30:23","LEM","06/19/02 15:30:34"
"RM/LA/73","LA",73,"C/EGD/2210","Trinity","LEM","06/19/02 15:42:05","LEM","06/19/02 15:42:08"
"RM/LA/74","LA",74,"C/EGD/2234","Nine","LEM","06/19/02 15:51:14","LEM","06/19/02 15:51:16"
"RM/LA/75","LA",75,"C/EGD/2215","Three","LEM","06/19/02 16:16:08","LEM","06/19/02 16:16:09"
"RM/LA/76","LA",76,"C/EGD/2263","Three","LEM","06/19/02 16:28:02","LEM","06/19/02 16:28:05"
"RM/LA/77","LA",77,"C/EGD/2256","Holy well","LEM","06/20/02 12:02:47","LEM","06/20/02 12:02:49"
"RM/LA/78","LA",78,"C/EGD/2256","Three","LEM","06/20/02 12:02:50","LEM","06/20/02 12:02:51"
"RM/LA/79","LA",79,"C/EGD/2256","Trinity","LEM","06/20/02 12:02:52","LEM","06/20/02 12:02:54"
"RM/LA/86","LA",86,"C/EGD/213","Holy well","LEM","07/10/02 13:39:39","LEM","07/10/02 13:39:45"
"RM/LA/87","LA",87,"C/EGD/785","Prayer","LEM","07/15/02 10:54:02","LEM","07/15/02 10:54:06"
"RM/LA/88","LA",88,"C/EGD/785","Three","LEM","07/15/02 10:55:11","LEM","07/15/02 10:55:12"
"RM/LA/89","LA",89,"C/EGD/785","Bible","LEM","07/15/02 10:56:48","LEM","07/15/02 10:56:50"
"RM/LA/90","LA",90,"C/EGD/317","Holy well","LEM","07/18/02 09:24:50","LEM","07/18/02 09:24:54"
"RM/LA/91","LA",91,"C/EGD/316","Three","LEM","07/18/02 09:34:46","LEM","07/18/02 09:34:47"
"RM/LA/92","LA",92,"C/EGD/316","Trinity","LEM","07/18/02 09:34:49","LEM","07/18/02 09:35:03"
"RM/LA/93","LA",93,"C/EGD/316","Saints","LEM","07/18/02 09:35:39","LEM","07/18/02 09:35:43"
"RM/LA/94","LA",94,"C/EGD/316","Prayer","LEM","07/18/02 09:35:44","LEM","07/18/02 09:35:48"
"RM/LA/95","LA",95,"C/EGD/794","Prayer","LEM","07/19/02 12:10:20","LEM","07/19/02 12:10:28"
"RM/LA/96","LA",96,"C/EGD/28","Trinity","LEM","07/24/02 12:24:24","LEM","07/24/02 12:34:26"
"RM/LA/97","LA",97,"C/EGD/28","Prayer","LEM","07/24/02 12:34:26","LEM","07/24/02 12:34:31"
"RM/LA/98","LA",98,"C/EGD/28","Holy well","LEM","07/24/02 12:37:16","LEM","07/24/02 12:37:41"
"RM/LA/99","LA",99,"C/EGD/107","Three","LEM","07/26/02 10:05:45","LEM","07/26/02 10:09:19"
