Measured Point,Vol.,Conc.,Cond. 185,Temp. 185,Cond. 187,Temp. 187,
,ml,mg/l,µS/cm,°C,µS/cm,°C,
0,250.0,0.00,105.8,10.7,105.4,10.7,
1,250.5,19.96,220.7,10.7,220.9,10.6,
2,251.0,39.84,335.8,10.7,334.7,10.6,
3,251.5,59.64,448.4,10.7,447.0,10.6,
4,252.0,79.37,562.2,10.7,560.3,10.6,
5,252.5,99.01,685.4,10.7,683.1,10.6,
Date/Time,Measured Point,Cond. 185,Cond. 187,Temp. 185,Temp. 187,
6/18/2016 10:12:59 AM,83,13.2,13.2,14.0,13.9,
6/18/2016 10:13:00 AM,84,13.2,13.2,14.0,13.9,
6/18/2016 10:13:01 AM,85,13.2,13.2,14.0,13.9,
6/18/2016 10:13:02 AM,86,13.2,13.2,14.0,13.9,
6/18/2016 10:13:03 AM,87,13.2,13.2,14.0,13.9,
6/18/2016 10:13:04 AM,88,13.2,13.2,14.0,13.9,
6/18/2016 10:13:05 AM,89,13.2,13.2,14.0,13.9,
6/18/2016 10:13:06 AM,90,13.2,13.2,14.0,13.9,
6/18/2016 10:13:07 AM,91,13.2,13.2,14.0,13.9,
6/18/2016 10:13:08 AM,92,13.2,13.2,14.0,13.9,
6/18/2016 10:13:09 AM,93,13.2,13.2,14.0,13.9,
6/18/2016 10:13:10 AM,94,13.2,13.2,14.0,13.9,
6/18/2016 10:13:11 AM,95,13.2,13.2,14.0,13.9,
6/18/2016 10:13:12 AM,96,13.2,13.2,14.0,13.9,
6/18/2016 10:13:13 AM,97,13.2,13.2,14.0,13.9,
6/18/2016 10:13:14 AM,98,13.2,13.2,14.0,13.9,
6/18/2016 10:13:15 AM,99,13.2,13.2,14.0,13.9,
6/18/2016 10:13:16 AM,100,13.2,13.2,14.0,13.9,
6/18/2016 10:13:17 AM,101,13.2,13.2,14.0,13.9,
6/18/2016 10:13:18 AM,102,13.2,13.2,14.0,13.9,
6/18/2016 10:13:19 AM,103,13.2,13.2,14.0,13.9,
6/18/2016 10:13:20 AM,104,13.2,13.2,14.0,13.9,
6/18/2016 10:13:21 AM,105,13.2,13.2,14.0,13.9,
6/18/2016 10:13:22 AM,106,13.2,13.2,14.0,13.9,
6/18/2016 10:13:23 AM,107,13.2,13.2,14.0,13.9,
6/18/2016 10:13:24 AM,108,13.2,13.2,14.0,13.9,
6/18/2016 10:13:25 AM,109,13.2,13.2,14.0,13.9,
6/18/2016 10:13:26 AM,110,13.2,13.2,14.0,13.9,
6/18/2016 10:13:27 AM,111,13.2,13.2,14.0,13.9,
6/18/2016 10:13:28 AM,112,13.2,13.2,14.0,13.9,
6/18/2016 10:13:29 AM,113,13.2,13.2,14.0,13.9,
6/18/2016 10:13:30 AM,114,13.2,13.2,14.0,13.9,
6/18/2016 10:13:31 AM,115,13.2,13.2,14.0,13.9,
6/18/2016 10:13:32 AM,116,13.2,13.2,14.0,13.9,
6/18/2016 10:13:33 AM,117,13.2,13.2,14.0,13.9,
6/18/2016 10:13:34 AM,118,13.2,13.2,14.0,13.9,
6/18/2016 10:13:35 AM,119,13.2,13.2,14.0,13.9,
6/18/2016 10:13:36 AM,120,13.2,13.2,14.0,13.9,
6/18/2016 10:13:37 AM,121,13.2,13.2,14.0,13.9,
6/18/2016 10:13:38 AM,122,13.2,13.2,14.0,13.9,
